Date,Open,High,Low,Close,Volume,Adj Close
2016-02-22,1912.00,1933.00,1907.00,1908.00,263300,1908.00
2016-02-15,1810.00,1918.90,1810.00,1904.00,455800,1904.00
2016-02-08,1852.00,1852.00,1752.00,1790.00,661600,1790.00
2016-02-01,1875.00,1883.00,1820.00,1840.00,597900,1840.00
2016-01-25,1810.00,1868.00,1765.00,1868.00,550900,1868.00
2016-01-18,1778.00,1806.00,1722.00,1800.00,587100,1800.00
2016-01-11,1827.00,1855.00,1765.00,1779.00,608200,1779.00
2016-01-04,1874.00,1895.52,1804.00,1832.00,562500,1832.00
2015-12-29,1879.00,1904.00,1873.00,1885.00,252900,1885.00
2015-12-21,1841.00,1872.00,1822.00,1870.00,270600,1870.00
2015-12-14,1835.00,1876.00,1804.00,1841.00,645700,1841.00
2015-12-07,1913.00,1940.00,1831.00,1831.00,412900,1831.00
2015-11-30,1905.00,1963.00,1894.60,1907.00,603300,1907.00
2015-11-23,1892.00,1916.00,1866.00,1904.00,450000,1904.00
2015-11-16,1830.00,1900.00,1830.00,1894.00,443800,1894.00
2015-11-09,1903.00,1904.00,1836.00,1840.00,525100,1817.06
2015-11-02,1848.00,1906.00,1846.60,1895.00,529900,1871.374
2015-10-26,1827.00,1859.00,1793.00,1859.00,762300,1835.823
2015-10-19,1827.00,1851.00,1782.00,1833.00,846200,1810.147
2015-10-12,1854.00,1865.00,1813.00,1827.00,619200,1804.222
2015-10-05,1829.00,1878.00,1822.00,1856.00,581300,1832.86
2015-09-28,1774.00,1818.00,1739.00,1804.00,613100,1781.509
2015-09-21,1736.00,1784.00,1700.00,1784.00,502600,1761.758
2015-09-14,1757.00,1780.95,1723.00,1739.00,549400,1717.319
2015-09-07,1741.00,1788.00,1718.00,1755.00,469900,1733.119
2015-08-31,1739.00,1763.00,1713.00,1724.00,573000,1702.506
2015-08-24,1714.00,1739.00,1665.00,1739.00,993200,1717.319
2015-08-17,1875.00,1880.20,1785.00,1785.00,462000,1762.745
2015-08-10,1855.00,1868.00,1816.00,1862.00,453000,1838.785
2015-08-03,1826.00,1851.00,1822.00,1849.00,461800,1825.948
2015-07-27,1756.00,1834.00,1752.00,1834.00,694700,1811.135
2015-07-20,1806.00,1815.30,1758.00,1761.00,597600,1739.045
2015-07-13,1771.00,1814.00,1765.00,1814.00,512500,1791.384
2015-07-06,1734.00,1774.83,1711.00,1758.00,612200,1736.082
2015-06-29,1753.00,1780.00,1738.00,1743.00,667500,1721.269
2015-06-22,1886.00,1892.00,1787.00,1787.00,991300,1764.72
2015-06-15,1862.00,1862.00,1819.00,1846.00,587300,1822.985
2015-06-08,1857.00,1895.70,1845.00,1868.00,507700,1844.711
2015-06-01,1905.00,1922.00,1850.00,1861.00,539100,1837.798
2015-05-25,1882.00,1925.00,1866.00,1896.00,481000,1872.361
2015-05-18,1893.00,1924.00,1859.00,1882.00,442700,1858.536
2015-05-11,1913.00,1918.00,1858.00,1890.00,600500,1842.356
2015-05-04,1834.00,1925.00,1826.00,1911.00,603300,1862.827
2015-04-27,1860.00,1867.00,1803.00,1834.00,663700,1787.768
2015-04-20,1849.00,1883.00,1843.00,1854.00,612100,1807.264
2015-04-13,1916.00,1917.00,1843.00,1846.00,872600,1799.466
2015-04-06,1855.00,1915.00,1855.00,1912.00,461300,1863.802
2015-03-30,1841.00,1863.00,1819.00,1855.00,731200,1808.239
2015-03-23,1875.00,1883.00,1814.00,1826.00,842800,1779.97
2015-03-16,1845.00,1883.00,1844.00,1878.00,839100,1830.659
2015-03-09,1881.00,1881.00,1828.00,1844.00,556800,1797.516
2015-03-02,1894.00,1912.00,1865.00,1881.00,565600,1833.583
2015-02-23,1941.00,1969.00,1877.00,1896.00,804100,1848.205
2015-02-16,1879.00,1931.00,1864.72,1928.00,546500,1879.399
2015-02-09,1881.00,1910.00,1853.00,1882.00,610700,1834.558
2015-02-02,1897.00,1915.00,1871.00,1886.00,576600,1838.457
2015-01-26,1908.00,1943.00,1880.00,1897.00,749100,1849.18
2015-01-19,1849.00,1916.00,1847.00,1913.00,586500,1864.777
2015-01-12,1819.00,1855.00,1771.00,1853.00,524200,1806.289
2015-01-05,1771.00,1834.00,1713.00,1812.00,762200,1766.323
2014-12-29,1796.00,1804.00,1749.00,1782.00,291400,1737.079
2014-12-22,1764.00,1802.00,1760.00,1790.00,390500,1744.877
2014-12-15,1709.00,1763.00,1680.00,1760.00,845900,1715.634
2014-12-08,1812.00,1834.00,1710.00,1713.00,785000,1669.818
2014-12-01,1780.00,1817.00,1768.00,1814.00,630500,1768.272
2014-11-24,1754.00,1794.00,1744.00,1786.00,412500,1740.978
2014-11-17,1721.00,1766.00,1715.00,1756.00,444000,1711.734
2014-11-10,1710.00,1747.00,1698.00,1729.00,476800,1685.415
2014-11-03,1691.00,1729.00,1671.00,1709.00,574600,1665.919
2014-10-27,1655.00,1699.00,1643.72,1695.00,514900,1641.637
2014-10-20,1645.00,1684.00,1620.00,1648.00,770800,1596.117
2014-10-13,1554.00,1646.00,1517.00,1644.00,1095300,1592.243
2014-10-06,1602.00,1609.00,1541.00,1567.00,621500,1517.667
2014-09-29,1595.00,1621.00,1573.00,1597.00,462700,1546.722
2014-09-22,1637.00,1646.00,1569.00,1597.00,519300,1546.722
2014-09-15,1602.00,1649.00,1602.00,1643.00,597700,1591.274
2014-09-08,1649.00,1651.56,1596.00,1608.00,511100,1557.376
2014-09-01,1643.00,1692.00,1640.00,1655.00,622600,1602.896
2014-08-25,1630.00,1682.00,1629.00,1646.00,413000,1594.18
2014-08-18,1636.00,1666.00,1621.00,1630.00,405100,1578.683
2014-08-11,1581.00,1647.00,1581.00,1629.00,387100,1577.715
2014-08-04,1587.00,1589.00,1540.00,1573.00,517300,1523.478
2014-07-28,1625.00,1635.00,1570.00,1585.00,393700,1535.10
2014-07-21,1633.00,1642.00,1601.00,1622.00,476900,1570.935
2014-07-14,1609.00,1655.00,1608.00,1633.00,414400,1581.589
2014-07-07,1664.00,1669.00,1598.00,1608.00,452000,1557.376
2014-06-30,1633.00,1668.00,1614.00,1663.00,485100,1610.645
2014-06-23,1646.00,1646.00,1566.00,1629.00,518900,1577.715
2014-06-16,1632.00,1657.00,1606.00,1645.00,551400,1593.211
2014-06-09,1693.00,1697.00,1618.00,1632.00,426500,1580.62
2014-06-02,1677.00,1710.29,1666.00,1690.00,496600,1636.795
2014-05-26,1670.00,1684.00,1666.00,1672.00,322600,1619.361
2014-05-19,1662.00,1692.00,1645.00,1670.00,378900,1617.424
2014-05-12,1644.00,1692.10,1637.00,1657.00,845500,1604.833
2014-05-05,1652.00,1666.50,1629.00,1647.00,353600,1595.148
2014-04-28,1658.00,1690.00,1642.00,1652.00,558800,1599.991
2014-04-21,1608.00,1670.95,1601.00,1662.00,524300,1609.676
2014-04-14,1594.00,1610.00,1565.00,1608.00,335000,1557.376
2014-04-07,1608.00,1649.00,1586.00,1598.00,417300,1547.691
2014-03-31,1602.00,1626.40,1594.00,1619.00,447200,1568.03
2014-03-24,1573.00,1620.00,1555.00,1600.00,415500,1549.628
2014-03-17,1574.00,1594.00,1559.00,1576.00,472600,1526.384
2014-03-10,1577.00,1610.10,1558.00,1565.00,516600,1515.73
2014-03-03,1558.00,1590.00,1539.00,1574.00,448800,1524.447
2014-02-24,1526.00,1604.00,1502.00,1573.00,887100,1523.478
2014-02-17,1451.00,1496.61,1448.00,1483.00,665800,1436.311
2014-02-10,1391.00,1463.00,1381.00,1453.00,726000,1407.256
2014-02-03,1380.00,1406.00,1356.00,1388.00,538900,1344.302
2014-01-27,1424.00,1426.00,1366.00,1388.00,414200,1344.302
2014-01-20,1422.00,1460.00,1413.00,1419.00,398400,1374.326
2014-01-13,1419.00,1439.00,1398.00,1418.00,396200,1373.358
2014-01-06,1444.00,1457.28,1412.00,1422.00,374900,1377.232
2013-12-30,1438.00,1459.00,1429.00,1447.00,233800,1401.445
2013-12-23,1406.00,1443.00,1397.00,1441.00,105900,1395.634
2013-12-16,1347.00,1420.00,1346.20,1402.00,655400,1357.861
2013-12-09,1359.00,1384.00,1345.36,1351.00,382900,1308.467
2013-12-02,1395.00,1400.00,1330.00,1362.00,415200,1319.121
2013-11-25,1385.00,1415.00,1382.00,1388.00,367200,1344.302
2013-11-18,1387.00,1400.00,1364.00,1384.00,265000,1340.428
2013-11-11,1421.00,1433.00,1381.00,1391.00,322400,1347.208
2013-11-04,1379.00,1426.00,1354.00,1414.00,481000,1369.484
2013-10-28,1354.00,1384.00,1347.00,1378.00,325600,1323.817
2013-10-21,1360.00,1387.00,1353.00,1357.00,318600,1303.642
2013-10-14,1312.00,1358.00,1288.00,1357.00,624400,1303.642
2013-10-07,1320.00,1336.00,1287.00,1334.00,337400,1281.547
2013-09-30,1330.00,1369.00,1319.00,1325.00,370700,1272.901
2013-09-23,1352.00,1374.00,1339.00,1349.00,257000,1295.957
2013-09-16,1368.00,1381.00,1347.00,1352.00,397600,1298.839
2013-09-09,1364.00,1374.00,1332.00,1352.00,400200,1298.839
2013-09-02,1365.00,1387.00,1349.00,1361.00,347100,1307.485
2013-08-26,1354.00,1390.00,1340.59,1361.00,357300,1307.485
2013-08-19,1334.00,1366.00,1326.00,1354.00,262600,1300.76
2013-08-12,1360.00,1398.00,1323.00,1333.00,388200,1280.586
2013-08-05,1377.00,1389.00,1340.00,1361.00,592300,1307.485
2013-07-29,1375.00,1423.00,1373.00,1379.00,420000,1324.777
2013-07-22,1390.00,1392.00,1359.42,1374.00,232500,1319.974
2013-07-15,1378.00,1399.00,1362.00,1385.00,316300,1330.541
2013-07-08,1380.00,1404.00,1365.00,1378.00,402200,1323.817
2013-07-01,1286.00,1390.00,1283.00,1373.00,482800,1319.013
2013-06-24,1258.00,1295.00,1237.00,1280.00,541200,1229.67
2013-06-17,1263.00,1302.00,1233.00,1259.00,559200,1209.496
2013-06-10,1255.00,1276.00,1236.00,1259.00,377200,1209.496
2013-06-03,1279.00,1289.00,1231.00,1253.00,369200,1203.732
2013-05-27,1308.00,1340.05,1275.00,1284.00,365600,1233.513
2013-05-20,1322.00,1349.00,1299.00,1308.00,450500,1256.569
2013-05-13,1291.00,1337.00,1286.93,1323.00,362900,1270.979
2013-05-06,1291.00,1292.00,1265.00,1288.00,366500,1237.355
2013-04-29,1265.00,1294.00,1262.00,1291.00,573100,1219.253
2013-04-22,1258.00,1278.00,1242.00,1266.00,378600,1195.643
