Date,Open,High,Low,Close,Volume,Adj Close,Return
22/02/2016,3278,3323,3278,3295,644900,3295,0.012288786
15/02/2016,3106,3266,3098,3255,791000,3255,0.066513761
08/02/2016,3117,3117,2957,3052,693700,3052,-0.014530191
01/02/2016,3140,3212,3092,3097,836700,3097,-0.016825397
25/01/2016,3019,3150,2980,3150,628500,3150,0.051752922
18/01/2016,2990,3054,2909,2995,781700,2995,0.003014066
11/01/2016,3036,3077,2976,2986,971100,2986,-0.015496208
04/01/2016,3327,3327,3028,3033,703200,3033,-0.092459605
29/12/2015,3363,3386,3325,3342,242400,3342,0.000898473
21/12/2015,3286,3348,3221,3339,480500,3339,0.003606853
14/12/2015,3404,3451,3326.77,3327,886700,3327,-0.022333235
07/12/2015,3509,3588,3398,3403,563900,3403,-0.023529412
30/11/2015,3516,3606,3423,3485,798800,3460.206,-0.008816837
23/11/2015,3498,3527,3408,3516,501100,3490.986,0
16/11/2015,3361,3519,3361,3516,517600,3490.986,0.041777778
09/11/2015,3429,3500,3373,3375,680200,3350.989,-0.015748031
02/11/2015,3439,3499,3333,3429,790800,3404.605,-0.007525326
26/10/2015,3388,3524,3372,3455,609700,3430.42,0.016475434
19/10/2015,3278,3419,3254,3399,456300,3374.818,0.027509069
12/10/2015,3333,3382,3230,3308,724700,3284.466,-0.010469638
05/10/2015,3401,3454,3343,3343,638400,3319.217,-0.007128007
28/09/2015,3244,3399,3202,3367,638200,3343.046,0.03887689
21/09/2015,3135,3251,3091,3241,618500,3217.942,0.032494425
14/09/2015,3096,3195,3045,3139,713100,3116.668,0.017174336
07/09/2015,3100,3208,3038,3086,780200,3064.045,-0.016884358
31/08/2015,3202,3221,3117,3139,496200,3116.668,-0.019675203
24/08/2015,3029,3210,2973,3202,867500,3179.22,0.028589785
17/08/2015,3270,3291,3113,3113,517900,3090.853,-0.043331285
10/08/2015,3220,3262,3141,3254,657300,3230.85,0.013391467
03/08/2015,3210,3253,3172,3211,459100,3188.156,-0.004032258
27/07/2015,3171,3224,3117,3224,578600,3201.063,0.013836478
20/07/2015,3187,3218,3152,3180,514000,3157.376,-0.002196423
13/07/2015,3133,3201,3098,3187,511300,3164.326,0.030391206
06/07/2015,2865,3125,2850,3093,1170700,3070.995,0.069502075
29/06/2015,2922,2969,2871,2892,616000,2871.425,-0.031804486
22/06/2015,3080,3094,2953,2987,798000,2965.749,-0.020655738
15/06/2015,3037,3058,2968,3050,805000,3028.301,-0.000327761
08/06/2015,2925,3109,2905,3051,979700,3029.294,0.039522998
01/06/2015,3030,3040,2913,2935,850100,2914.119,-0.030713342
25/05/2015,2934,3074,2883,3028,852200,2996.379,0.032038173
18/05/2015,2910,2961,2873,2934,705100,2903.361,0.008594019
11/05/2015,2929,2950,2823,2909,1058800,2878.622,-0.006489071
04/05/2015,2874,2939,2813,2928,835900,2897.423,0.018789144
27/04/2015,2785,2895,2769,2874,1424400,2843.987,0.037170696
20/04/2015,2920,2942,2705.75,2771,1788700,2742.063,-0.046455609
13/04/2015,3008,3009,2902,2906,843600,2875.653,-0.036791515
06/04/2015,2866,3022,2856,3017,692900,2985.494,0.052686671
30/03/2015,2876,2883,2795.35,2866,566900,2836.071,0.007381371
23/03/2015,3046,3046,2826,2845,931800,2815.29,-0.063528637
16/03/2015,2991,3093,2990,3038,739400,3006.275,0.018096515
09/03/2015,3125,3136,2967,2984,687800,2952.839,-0.046340684
02/03/2015,3108,3187,3051,3129,737800,3096.324,0.00128
23/02/2015,3033,3149.36,2964,3125,869100,3092.366,0.029314888
16/02/2015,2900,3070,2868,3036,831600,3004.295,0.045094664
09/02/2015,3020,3030,2901,2905,690800,2874.664,-0.04503616
02/02/2015,3119,3132,2992,3042,709800,3010.233,-0.019658395
26/01/2015,3075,3167,3071.76,3103,627400,3070.596,0.007467532
19/01/2015,3097,3136,2889,3080,799400,3047.836,-0.004203039
12/01/2015,3080,3147,3013,3093,930600,3060.7,0.004873294
05/01/2015,3176,3214,3020,3078,726300,3045.857,-0.036318096
29/12/2014,3243,3243,3135,3194,249400,3160.646,-0.010226216
22/12/2014,3212,3255,3194,3227,167900,3193.301,0.010331872
15/12/2014,3057,3204,2971,3194,868200,3160.646,0.040390879
08/12/2014,3272,3285,3070,3070,744100,3037.94,-0.065164434
01/12/2014,3185,3293,3027,3284,969500,3225.036,0.025288792
24/11/2014,3120,3221,3041,3203,874900,3145.49,0.026931709
17/11/2014,3048,3137,3046,3119,646100,3062.998,0.018948056
10/11/2014,2954,3062,2952,3061,734600,3006.04,0.035170781
03/11/2014,2752,2992,2603,2957,1316900,2903.907,0.073710966
27/10/2014,2753,2802,2703,2754,827400,2704.552,0.015861306
20/10/2014,2570,2740,2554,2711,1122800,2662.324,0.055274426
13/10/2014,2489,2580,2407,2569,1194400,2522.874,0.03255627
06/10/2014,2657,2664,2487,2488,880100,2443.328,-0.061486232
29/09/2014,2567,2702,2547,2651,1046800,2603.401,0.032723023
22/09/2014,2669,2713,2505,2567,950500,2520.909,-0.040373832
15/09/2014,2634,2727.07,2593,2675,890500,2626.97,0.020602823
08/09/2014,2870,2870,2621,2621,1187400,2573.94,-0.099003094
01/09/2014,2858,2934,2846,2909,531300,2856.769,0.016067063
25/08/2014,2812,2925,2812,2863,531000,2811.595,0.018136558
18/08/2014,2821,2907.35,2789,2812,540900,2761.51,0.001781261
11/08/2014,2701,2833,2695,2807,501500,2756.6,0.045048399
04/08/2014,2785,2806,2667,2686,535700,2637.773,-0.032072072
28/07/2014,2870,2885,2729,2775,478400,2725.175,-0.032426778
21/07/2014,2841,2905,2803,2868,604300,2816.505,0.009148487
14/07/2014,2947,2972,2832,2842,720700,2790.972,-0.036283486
07/07/2014,3129,3156,2915,2949,891400,2896.051,-0.05632
30/06/2014,3048,3141,3010,3125,490300,3068.891,0.027284681
23/06/2014,3084,3085,3005,3042,392600,2987.381,-0.014257939
16/06/2014,3028,3099,2985,3086,595100,3030.591,0.020165289
09/06/2014,3035,3081,3011,3025,419200,2970.686,-0.00066072
02/06/2014,3028,3069,2979,3027,498400,2972.65,0.002982107
26/05/2014,2983.6,3058,2949,3018,458000,2954.283,0.011529696
19/05/2014,3014,3091,2953,2983.6,637600,2920.609,-0.006790945
12/05/2014,2948,3011,2927,3004,477600,2940.578,0.020033956
05/05/2014,2900,3014,2892,2945,470600,2882.824,0.015517241
28/04/2014,2923,3048,2888,2900,806700,2838.774,-0.002064694
21/04/2014,2711,2992,2695,2906,867400,2844.647,0.071929177
14/04/2014,2640,2735,2633,2711,554400,2653.764,0.024952741
07/04/2014,2782,2789.56,2603,2645,1021700,2589.158,-0.05501965
31/03/2014,2842,2845,2749,2799,629600,2739.906,-0.010954064
24/03/2014,2766,2867,2743,2830,655200,2770.252,0.026105874
17/03/2014,2830,2853,2744,2758,781400,2699.772,-0.027503526
10/03/2014,2976,3011,2795.45,2836,833500,2776.125,-0.044796228
03/03/2014,2964,3030,2940,2969,725800,2906.317,-0.009673115
24/02/2014,2975,3017,2889,2998,1098900,2934.705,0.001670565
17/02/2014,2818,3001,2817,2993,697700,2929.811,0.064366999
10/02/2014,2854,2857,2762,2812,870700,2752.632,-0.012293642
03/02/2014,2722,2930,2682,2847,1166400,2786.893,0.048618785
27/01/2014,2745,2759,2638,2715,868000,2657.68,-0.010568513
20/01/2014,2640,2882,2638,2744,1070800,2686.068,0.036253776
13/01/2014,2594,2726,2566,2648,1638700,2592.094,0.021999228
06/01/2014,2516,2594,2507,2591,689600,2536.298,0.026545166
30/12/2013,2490,2544,2445,2524,321800,2470.712,0.011623246
23/12/2013,2425,2495,2423,2495,155000,2442.325,0.028865979
16/12/2013,2244,2439,2237,2425,878300,2373.802,0.080659537
09/12/2013,2267,2285,2237,2244,692200,2196.624,-0.010145567
02/12/2013,2292,2317,2240.75,2267,598600,2219.138,-0.011338857
25/11/2013,2300,2307,2250,2293,844100,2219.878,0.000872981
18/11/2013,2334,2354,2234,2291,804200,2217.942,-0.018423308
11/11/2013,2232,2345,2224,2334,762000,2259.571,0.032743363
04/11/2013,2243,2349,2175,2260,1879600,2187.931,0.003998223
28/10/2013,2134,2269,2126,2251,994300,2179.218,0.055321144
21/10/2013,2059,2134.47,2054.91,2133,655000,2064.981,0.03443259
14/10/2013,1926,2062,201.5,2062,770100,1996.245,0.079016222
07/10/2013,1880,1923,1874,1911,738100,1850.06,0.014869888
30/09/2013,1866,1894,1854,1883,617500,1822.953,0.00053135
23/09/2013,1845,1889,1825,1882,1063400,1821.985,0.017847485
16/09/2013,1827,1866,1811,1849,697800,1790.037,0.022111664
09/09/2013,1860,1860,1795.73,1809,711300,1751.313,-0.022690438
02/09/2013,1863,1921,1813,1851,758300,1791.973,0.003252033
26/08/2013,1887,1921,1831,1845,462400,1786.165,-0.022257552
19/08/2013,1893,1900,1863,1887,343800,1826.825,-0.001587302
12/08/2013,1943,1950,1876,1890,456700,1829.73,-0.029275809
05/08/2013,1965,1986,1912,1947,518600,1884.912,-0.006125574
29/07/2013,1892,1965,1886.33,1959,615400,1896.529,0.038155803
22/07/2013,1895,1904,1862,1887,574500,1826.825,-0.000529661
15/07/2013,1876,1913,1858,1888,610100,1827.794,0.004789782
08/07/2013,1829,1964,1796,1879,1095500,1819.081,0.03469163
01/07/2013,1751,1862,1727,1816,831700,1758.089,0.046685879
24/06/2013,1702,1761,1657,1735,997100,1679.673,0.01879037
17/06/2013,1765,1769,1698,1703,1196200,1648.693,-0.044332211
10/06/2013,1839,1840,1758.45,1782,940400,1725.174,-0.03362256
03/06/2013,1802,1877,1778,1844,941900,1785.197,0.017660044
27/05/2013,1932,1965,1811.47,1812,864000,1744.456,-0.062111801
20/05/2013,1919,1961,1898,1932,915900,1859.983,0.024390244
13/05/2013,1986,2044,1863,1886,1047300,1815.697,-0.051307847
06/05/2013,1934,2005,1914,1988,752800,1913.895,0.027921406
29/04/2013,1935,1973,1916,1934,888300,1861.908,0.004675325
22/04/2013,1850,1999,1844,1925,1476700,1853.244,0.042230644
15/04/2013,1846,1867,1791,1847,1110400,1778.151,0.001626898
08/04/2013,1867,1898,1827,1844,998700,1775.263,-0.009134874
01/04/2013,1901,1943,1848,1861,718100,1791.629,-0.021041557
25/03/2013,1864,1912,1851,1901,566500,1830.138,0.021493821
18/03/2013,1871,1905,1821,1861,896800,1791.629,-0.020010532
11/03/2013,1868,1904,1861,1899,1105500,1828.213,0.016595289
04/03/2013,1856,1871,1820,1868,880400,1798.368,0.002683843
25/02/2013,1820,1874.41,1782,1863,952400,1793.555,0.018032787
18/02/2013,1814,1881,1811.55,1830,856600,1761.785,0.006047279
11/02/2013,1750,1823.5,1746,1819,801100,1751.195,0.03411029
04/02/2013,1760,1787,1741,1759,830300,1693.432,-0.003399433
28/01/2013,1703,1780,1697,1765,1069000,1699.208,0.033372365
21/01/2013,1640,1712,1607,1708,1078900,1644.333,0.044648318
14/01/2013,1535,1676,1496,1635,2175600,1574.054,0.068627451
07/01/2013,1572,1579.09,1504.16,1530,1398900,1472.968,-0.03164557
31/12/2012,1568,1597,1557,1580,441500,1521.104,0.003811944
24/12/2012,1563,1587,1555,1574,132900,1515.328,0.007682458
17/12/2012,1519,1576,1515,1562,981800,1503.775,0.028985507
10/12/2012,1485,1529,1482.5,1518,871100,1461.415,0.022222222
03/12/2012,1482,1492,1457,1485,796400,1429.645,0.00473613
26/11/2012,1449,1491,1440,1478,952100,1403.755,0.019310345
19/11/2012,1404,1460,1396,1450,1103200,1377.162,0.040172166
12/11/2012,1380,1407,1371,1394,1269000,1323.975,0.013818182
05/11/2012,1372,1390,1349,1375,1428800,1305.929,0.003649635
29/10/2012,1387,1406,1368,1370,948200,1301.18,-0.013678906
22/10/2012,1362,1393,1342,1389,984300,1319.226,0.020573108
15/10/2012,1327,1373,1327,1361,828100,1292.632,0.026395173
08/10/2012,1322,1333,1308,1326,660100,1259.391,-0.001506024
01/10/2012,1291,1330,1289,1328,756300,1261.29,0.030256012
24/09/2012,1290,1319,1288,1289,935000,1224.249,-0.002321981
17/09/2012,1293,1297.04,1274,1292,1035800,1227.099,0.013333333
10/09/2012,1305,1306.53,1262,1275,1471300,1210.953,-0.0237366
03/09/2012,1327,1343,1301,1306,884300,1240.395,-0.013595166
27/08/2012,1329,1343,1321,1324,567800,1257.491,-0.003762227
20/08/2012,1315,1333,1300,1329,663700,1262.24,0.011415525
13/08/2012,1286,1314,1276,1314,889700,1247.993,0.02416212
06/08/2012,1272,1301,1255,1283,829300,1218.551,0.007064364
30/07/2012,1254,1283,1248,1274,585300,1210.003,0.0192
23/07/2012,1268,1275,1237,1250,782300,1187.208,-0.029503106
16/07/2012,1289,1296,1271,1288,725300,1223.3,-0.000775795
09/07/2012,1295,1297.64,1244,1289,1406900,1224.249,-0.002321981
02/07/2012,1282,1299,1275,1292,880400,1227.099,
